ID;Дата;Компания;Продукт;Произведено, млн р.;Экспорт, млн р.
1;01.01.2018;Эссенс Косметикс;Тушь Эссенс Lash Princess;99;14
2;08.02.2019;Гламур Бьюти;Палетка теней с зеркалом;34;28
3;15.03.2020;Вельвет Тач;Контейнер для пудры;89;71
4;22.04.2021;Шик Косметикс;Красная помада;91;44
5;01.05.2022;Нейл Кутюр;Красный лак для ногтей;79;9
6;08.06.2023;Кельвин Кляйн;Кельвин Кляйн CK One;29;12
7;15.07.2024;Шанель;Шанель Коко Нуар;58;35
8;22.08.2025;Диор;Диор Жадор;98;82
9;01.09.2018;Дольче и Габбана;Дольче Шайн;4;1
10;08.10.2019;Гуччи;Гуччи Блум;91;19
11;15.11.2020;Аннибале Коломбо;Кровать Аннибале Коломбо;88;56
12;22.12.2021;Аннибале Коломбо;Диван Аннибале Коломбо;60;27
13;01.01.2022;Фёрничер Ко;Тумбочка «Африканская вишня»;64;60
14;08.02.2023;Нолл;Стул для конференций Knoll Saarinen;26;5
15;15.03.2024;Бас Трендс;Деревянная раковина с зеркалом;7;3
16;01.01.2018;Эссенс Про;Тушь Эссенс Lash Princess;99;91
17;08.02.2019;Гламур Бьюти Плюс;Палетка теней с зеркалом;34;16
18;15.03.2020;Вельвет Тач Групп;Контейнер для пудры;89;33
19;22.04.2021;Шик Косметикс Люкс;Красная помада;91;85
20;01.05.2022;Нейл Кутюр Мастер;Красный лак для ногтей;79;64
21;08.06.2023;Кельвин Кляйн;Кельвин Кляйн CK One;29;2
22;15.07.2024;Шанель;Шанель Коко Нуар;58;50
23;22.08.2025;Диор;Диор Жадор;98;7
24;01.09.2018;Дольче и Габбана;Дольче Шайн;4;4
25;08.10.2019;Гуччи;Гуччи Блум;91;41
26;15.11.2020;Аннибале Коломбо;Кровать Аннибале Коломбо;88;12
27;22.12.2021;Аннибале Коломбо;Диван Аннибале Коломбо;60;38
28;01.01.2022;Мебельная Компания №1;Тумбочка «Вишневый сад»;64;21
29;08.02.2023;Нолл Дизайн;Стул Knoll Saarinen;26;24
30;15.03.2024;Бас Трендс Дизайн;Раковина из дерева;7;0
31;22.04.2025;Эппл;Яблоко;8;6
32;01.05.2018;Мясной Двор;Стейк из говядины;86;39
33;08.06.2019;Кошачий Корм;Корм для кошек;46;40
34;15.07.2020;Куриная Ферма;Куриное мясо;97;18
35;22.08.2021;МаслоПром;Масло подсолнечное;10;1
36;01.09.2022;Овощной Рай;Огурец;84;77
37;08.10.2023;Собачья Радость;Корм для собак;71;53
38;15.11.2024;Птицефабрика;Яйца;9;4
39;22.12.2025;Рыбный Цех;Стейк из рыбы;74;29
40;01.01.2018;Зеленый Сад;Зеленый болгарский перец;33;13
41;08.02.2019;Перец-Чили;Зеленый перец чили;3;2
42;15.03.2020;Медовая Лавка;Банка меда;34;30
43;22.04.2021;Снежное Лакомство;Мороженое;27;15
44;01.05.2022;Соковый Завод;Сок;50;5
45;08.06.2023;Фруктовый Мир;Киви;99;88
46;15.07.2024;Апекс Бьюти;Тушь Эссенс Lash Princess;120;102
47;22.08.2025;Луна Косметикс;Палетка теней;34;4
48;01.09.2018;Вельвет Воркс;Контейнер для пудры;95;47
49;08.10.2019;Шик Лайн;Красная помада;88;63
50;15.11.2020;Нейл Артизанс;Красный лак для ногтей;79;70
