ID;Дата;Наименование предприятия;Наименование изделия;Выпущено, млн р.;В том числе на экспорт, млн р.
01.01.2018;Эссенс Косметикс;Тушь Эссенс Lash Princess;99;14
08.02.2019;Гламур Бьюти;Палетка теней с зеркалом;34;28
15.03.2020;Вельвет Тач;Контейнер для пудры;89;71
22.04.2021;Шик Косметикс;Красная помада;91;44
01.05.2022;Нейл Кутюр;Красный лак для ногтей;79;9
08.06.2023;Кельвин Кляйн;Кельвин Кляйн CK One;29;12
15.07.2024;Шанель;Шанель Коко Нуар;58;35
22.08.2025;Диор;Диор Жадор;98;82
01.09.2018;Дольче и Габбана;Дольче Шайн;4;1
08.10.2019;Гуччи;Гуччи Блум;91;19
15.11.2020;Аннибале Коломбо;Кровать Аннибале Коломбо;88;56
22.12.2021;Аннибале Коломбо;Диван Аннибале Коломбо;60;27
01.01.2022;Фёрничер Ко;Тумбочка «Африканская вишня»;64;60
08.02.2023;Нолл;Стул для конференций Knoll Saarinen;26;5
15.03.2024;Бас Трендс;Деревянная раковина с зеркалом;7;3
01.01.2018;Эссенс Про;Тушь Эссенс Lash Princess;99;91
08.02.2019;Гламур Бьюти Плюс;Палетка теней с зеркалом;34;16
15.03.2020;Вельвет Тач Групп;Контейнер для пудры;89;33
22.04.2021;Шик Косметикс Люкс;Красная помада;91;85
01.05.2022;Нейл Кутюр Мастер;Красный лак для ногтей;79;64
08.06.2023;Кельвин Кляйн;Кельвин Кляйн CK One;29;2
15.07.2024;Шанель;Шанель Коко Нуар;58;50
22.08.2025;Диор;Диор Жадор;98;7
01.09.2018;Дольче и Габбана;Дольче Шайн;4;4
08.10.2019;Гуччи;Гуччи Блум;91;41
15.11.2020;Аннибале Коломбо;Кровать Аннибале Коломбо;88;12
22.12.2021;Аннибале Коломбо;Диван Аннибале Коломбо;60;38
01.01.2022;Мебельная Компания N1;Тумбочка «Вишневый сад»;64;21
08.02.2023;Нолл Дизайн;Стул Knoll Saarinen;26;24
15.03.2024;Бас Трендс Дизайн;Раковина из дерева;7;0
22.04.2025;Эппл;Яблоко;8;6
01.05.2018;Мясной Двор;Стейк из говядины;86;39
08.06.2019;Кошачий Корм;Корм для кошек;46;40
15.07.2020;Куриная Ферма;Куриное мясо;97;18
22.08.2021;МаслоПром;Масло подсолнечное;10;1
01.09.2022;Овощной Рай;Огурец;84;77
08.10.2023;Собачья Радость;Корм для собак;71;53
15.11.2024;Птицефабрика;Яйца;9;4
22.12.2025;Рыбный Цех;Стейк из рыбы;74;29
01.01.2018;Зеленый Сад;Зеленый болгарский перец;33;13
08.02.2019;Перец-Чили;Зеленый перец чили;3;2
15.03.2020;Медовая Лавка;Банка меда;34;30
22.04.2021;Снежное Лакомство;Мороженое;27;15
01.05.2022;Соковый Завод;Сок;50;5
08.06.2023;Фруктовый Мир;Киви;99;88
15.07.2024;Апекс Бьюти;Тушь Эссенс Lash Princess;120;102
22.08.2025;Луна Косметикс;Палетка теней;34;4
01.09.2018;Вельвет Воркс;Контейнер для пудры;95;47
08.10.2019;Шик Лайн;Красная помада;88;63
15.11.2020;Нейл Артизанс;Красный лак для ногтей;79;70
