ID;Дата;Компания;Продукт;Произведено, млн р.;Экспорт, млн р.
1;01.01.2018;Эссенс Косметикс;Тушь Эссенс Lash Princess;99;14
2;08.02.2019;Гламур Бьюти;Палетка теней с зеркалом;34;28
3;15.03.2020;Вельвет Тач;Контейнер для пудры;89;71
4;22.04.2021;Шик Косметикс;Красная помада;91;44
5;01.05.2022;Нейл Кутюр;Красный лак для ногтей;79;9
6;08.06.2023;Кельвин Кляйн;Кельвин Кляйн CK One;29;12
7;15.07.2024;Шанель;Шанель Коко Нуар (парфюм);58;35
8;22.08.2025;Диор;Диор Жадор;98;82
9;01.09.2018;Дольче и Габбана;Дольче Шайн (вода);4;1
10;08.10.2019;Гуччи;Гуччи Блум (вода);91;19
11;15.11.2020;Аннибале Коломбо;Кровать Аннибале Коломбо;88;56
12;22.12.2021;Аннибале Коломбо (Мебель);Диван Аннибале Коломбо;60;27
13;01.01.2022;Фёрничер Ко;Тумбочка «Африканская вишня»;64;60
